,year,real_gdp_growth,corporate_profit_after_tax,population_growth,unemployment_rate,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,president_party,real_gdp,adjusted_corporate_profit,senate_majority,house_majority
1,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,1978,0.060779332,190.742,1.05957308,6.1,3558378,4325029,70141112,67558494,640405,15.1,472395,11.139,14228637,4593741,9634896,6.8,21.061,9064076,3564360,5499716,5.276,13.417,5164561,7.645,26.833,326348,331478,1820180,1,7058.92,0.027021414,1,1
3,1979,0.026566954,221.197,1.103576565,5.8,3691520,4484880,74603825,72468330,616157,13.971,466802,10.585,13672711,4356672,9316039,6.012,18.867,9396651,3253627,6143024,4.49,12.967,4276060,5.901,25.933,330034,334542,1787799,1,7246.454,0.030524861,1,1
4,1980,-0.007750687,194.437,0.959589923,6.9,3739076,4550299,74985039,74783479,578738,12.81,514155,11.38,11766595,4059305,7707290,5.428,15.734,11365366,3491752,7873614,4.669,15.198,401229,0.537,30.395,369130,374135,1938877,1,7190.289,0.027041611,1,1
5,1981,0.029686707,200.097,0.981415437,7.2,3768112,4611047,75707261,75335963,586628,12.811,522871,11.418,12123120,4577047,7546073,6.076,16.092,11375394,3487213,7888181,4.629,15.1,747726,0.993,30.199,377121,383413,1998040,0,7403.745,0.027026458,0,1
6,1982,-0.010107452,183.28,0.953317566,9.3,3741696,4616757,74885775,75245261,575099,12.462,570963,12.373,11833257,4227649,7605608,5.618,15.726,12542932,3854042,8688890,5.122,16.669,-709675,-0.943,31.452,406273,412208,2220580,0,7328.912,0.025007805,0,1
7,1983,0.032684797,193.299,0.914378513,10.2,3830488,4712019,73981735,74414676,624231,13.382,529411,11.35,12223590,4480846,7742744,6.021,16.426,13107031,4109271,8997760,5.522,17.614,-883441,-1.187,32.853,363038,370048,2097192,0,7568.456,0.025540084,0,1
8,1984,0.079965319,220.406,0.865817336,7.7,4001129,4903678,78739690,76280111,698764,14.531,509075,10.586,14886021,5225059,9660962,6.85,19.515,9963978,3628357,6335621,4.757,13.062,4922043,6.453,26.125,364739,371116,2067677,0,8173.67,0.026965366,0,1
9,1985,0.036839877,204.591,0.886129041,7.3,4072907,4986158,81691290,80228092,683242,13.817,600463,12.143,14942649,5189724,9752925,6.469,18.625,12015537,4847264,7168273,6.042,14.977,2927112,3.648,29.953,431658,440691,2816090,0,8474.787,0.024141138,0,1
10,1986,0.037020045,171.227,0.924164157,7.1,4157322,5112167,83737941,82651762,710987,14.083,583658,11.561,14960805,5543131,9417674,6.707,18.101,12780349,4368620,8411729,5.286,15.463,2180456,2.638,30.926,414735,422563,2550865,0,8788.524,0.019483021,0,1
11,1987,0.033536007,220.614,0.893829201,6.3,4223743,5224172,85856852,85192218,739670,14.312,627528,12.142,16302074,6495453,9806621,7.624,19.136,14972986,5264026,9708960,6.179,17.576,1329088,1.56,35.151,435821,444168,2819308,0,9083.256,0.024287987,0,1
12,1988,0.044844932,266.622,0.90799904,5.4,4307935,5358459,88382744,87193415,738592,13.949,611776,11.554,16361511,6241738,10119773,7.158,18.765,13987957,5097193,8890764,5.846,16.042,2373554,2.722,32.085,425396,435348,2788081,0,9490.594,0.028093289,1,1
13,1989,0.037479108,273.165,0.944405555,5.2,4381715,5471158,91331567,89867895,723445,13.358,612883,11.316,16256601,5937414,10319187,6.607,18.089,13355410,4986234,8369176,5.548,14.861,2901191,3.228,29.722,429511,441754,2785903,0,9846.293,0.027742928,1,1
14,1990,0.02412705,285.023,1.12965052,5.4,4445237,5570098,93670458,92586001,700885,12.695,602891,10.92,15499475,5572404,9927071,6.019,16.741,13331548,4564854,8766694,4.93,14.399,2167927,2.342,28.798,433898,444877,2719940,0,10083.855,0.028265281,1,1
15,1991,-0.005389308,304.593,1.336260741,6.7,4412315,5605711,91447316,92565800,690632,12.366,648731,11.616,13979335,5619110,8360225,6.07,15.102,16226462,5496230,10730232,5.938,17.53,-2247127,-2.428,30.204,453823,466599,3379761,0,10029.51,0.030369679,1,1
16,1992,0.031698358,344.556,1.386885692,7.4,4413565,5615239,91433740,91423653,649148,11.576,633960,11.305,14677639,5128483,9549156,5.61,16.055,14654876,5119488,9535388,5.6,16.03,22763,0.025,32.059,415354,426553,2696186,0,10347.429,0.033298706,1,1
17,1993,0.028066682,349.005,1.31868,7.1,4495290,5681708,93095941,92278535,649952,11.507,582849,10.319,14922114,4859062,10063052,5.266,16.171,13302631,4463420,8839211,4.837,14.416,1619483,1.755,28.831,386334,398439,2315485,1,10637.847,0.03280786,1,1
18,1994,0.042256107,463.129,1.226296089,6.4,4575022,5789713,95637767,94532513,680939,11.864,580690,10.117,15273847,5357128,9916719,5.667,16.157,13061269,4531981,8529288,4.794,13.817,2212578,2.341,27.633,398836,410740,2476052,1,11087.361,0.041770896,1,1
19,1995,0.024023751,501.314,1.190787091,5.8,4673760,5920339,99010719,97272917,706355,12.065,574707,9.816,16025378,5684106,10341272,5.843,16.475,12543905,4312192,8231713,4.433,12.896,3481473,3.579,25.791,398622,411657,2465947,1,11353.721,0.044154159,1,0
20,1996,0.040023795,540.29,1.16341162,5.6,4721279,5998503,100039208,99133907,702084,11.805,599444,10.079,15737799,5772772,9965027,5.823,15.875,13932975,4648266,9284709,4.689,14.055,1804824,1.821,28.109,416572,429228,2629298,1,11808.14,0.045755724,0,0
21,1997,0.043112717,584.518,1.203960297,5.1,4776188,6075304,103094473,101735393,737295,12.212,662092,10.966,18181514,6431043,11750471,6.321,17.871,15443812,5769499,9674313,5.671,15.18,2737702,2.691,30.361,434198,449148,2913807,1,12317.221,0.047455347,0,0
22,1998,0.040927901,538.408,1.165714526,4.3,4853360,6187384,107675470,106021656,702487,11.437,612357,9.969,17951863,6120259,11831604,5.773,16.932,14616084,4951337,9664747,4.67,13.786,3335779,3.146,27.572,400478,413222,2474487,1,12821.339,0.041993118,0,0
23,1999,0.047218859,568.577,1.148340047,4.3,4882927,6246086,109797820,108810177,691376,11.12,633585,10.191,17668519,6099127,11569392,5.605,16.238,15693164,5634130,10059034,5.178,14.423,1975355,1.815,28.845,408706,424008,2732112,1,13426.748,0.042346591,0,0
24,2000,0.052444568,559.322,1.112768997,3.8,4902684,6301306,113580997,111853900,680829,10.849,628872,10.021,18668174,6158781,12509393,5.506,16.69,15219818,5365512,9854306,4.797,13.607,3448356,3.083,27.214,405072,420708,2584177,1,14130.908,0.039581462,0,0
25,2001,0.009962983,581.778,0.989741382,4.4,4913035,6332816,113769131,113651657,694178,10.99,661425,10.471,17763121,6321105,11442016,5.562,15.629,17526801,6321898,11204903,5.563,15.422,236320,0.208,30.843,408289,425810,2822809,0,14271.694,0.040764467,0,0
26,2002,0.013253788,614.559,0.927797486,5.9,4929586,6392493,111806506,113154281,758946,11.912,716886,11.252,18534099,7463061,11071038,6.595,16.379,21242018,7146785,14095233,6.316,18.773,-2707919,-2.393,32.759,424399,439591,3423537,0,14460.848,0.04249813,1,0
27,2003,0.019550652,742.624,0.859481713,6,4992508,6460175,112478966,112142195,735016,11.44,665136,10.352,17692810,6027898,11664912,5.375,15.777,17025386,5843273,11182113,5.211,15.182,667424,0.595,30.364,416575,428329,2631253,0,14743.567,0.050369358,1,0
28,2004,0.042274912,997.169,0.925483969,5.6,5085577,6567827,114162619,113383454,749724,11.509,642842,9.868,17240952,5839987,11400965,5.151,15.206,15719523,5538670,10180853,4.885,13.864,1521429,1.342,27.728,414467,426436,2644174,0,15366.85,0.064890918,0,0
29,2005,0.036177356,1292.727,0.921713167,5.2,5167221,6677261,115436979,114832962,769549,11.62,660837,9.978,17001251,6131216,10870035,5.339,14.805,15788686,5183391,10605295,4.514,13.749,1212565,1.056,27.499,430639,441920,2664227,0,15922.782,0.081187257,0,0
30,2006,0.029729039,1472.804,0.964253917,4.7,5256390,6840310,119274051,117432961,844268,12.492,680897,10.074,18703235,6833331,11869904,5.819,15.927,15040847,5019255,10021592,4.274,12.808,3662388,3.119,25.616,460853,471298,2623617,0,16396.151,0.089826204,0,0
31,2007,0.019343747,1462.488,0.951055243,4.5,5293170,6918825,119789950,119562798,809158,11.764,728155,10.586,18279127,6351227,11927900,5.312,15.288,17828719,5894570,11934149,4.93,14.912,450408,0.377,29.823,467581,477442,2801212,0,16713.314,0.087504369,0,0
32,2008,0.013760108,1348.013,0.945865287,5,5232176,6875408,119579986,119641581,710970,10.31,751353,10.896,16962270,5619536,11342734,4.697,14.178,17117513,5589363,11528150,4.672,14.307,-155243,-0.13,28.355,495937,506558,2862896,0,16943.291,0.079560281,1,1
33,2009,-0.039788374,1199.363,0.876651299,9,5090273,6739792,113690727,116783976,633083,9.283,792536,11.622,13390532,4972729,8417803,4.258,11.466,19590041,5591835,13998206,4.788,16.775,-6199509,-5.309,22.932,511670,524618,3060261,1,16269.145,0.0737201,1,1
34,2010,0.02913595,1560.78,0.829616675,9.9,5018827,6671833,111311896,112520084,637377,9.504,707124,10.544,13415939,4768663,8647276,4.238,11.923,15813173,4729622,11083551,4.203,14.054,-2397234,-2.13,23.846,440678,453281,2411848,1,16743.162,0.093218951,1,1
35,2011,0.017437089,1580.148,0.726786705,9.1,4995833,6668392,112880615,112105323,660170,9.898,663080,9.941,14736493,4564316,10172177,4.071,13.145,13175133,4243121,8932012,3.785,11.752,1561360,1.393,23.505,420932,433974,2213079,1,17035.114,0.092758287,1,1
36,2012,0.024033358,1860.118,0.733599941,8.2,5042668,6713558,115350389,114122557,670503,10.022,624461,9.333,15747633,4706195,11041438,4.124,13.799,13280900,4396146,8884754,3.852,11.637,2466733,2.161,23.275,380359,392685,2205896,1,17444.525,0.106630476,1,0
37,2013,0.015199382,1823.848,0.692860277,7.6,5067524,6753075,117601993,116500761,660778,9.815,619855,9.207,15542275,4901310,10640965,4.207,13.341,13339248,4471104,8868144,3.838,11.45,2203027,1.891,22.9,385307,393088,2218376,1,17709.671,0.10298599,1,0
38,2014,0.026891522,1952.58,0.73336152,6.2,5104517,6826141,120123275,118843445,673005,9.911,601217,8.854,15600228,5078167,10522061,4.273,13.127,13040155,4292523,8747632,3.612,10.973,2560073,2.154,21.945,382830,391333,2127395,1,18185.911,0.107367731,1,0
39,2015,0.032790879,1898.93,0.736217309,5.4,5151172,6910005,123230544,121683000,688633,10.026,605426,8.815,16287710,5378022,10909688,4.42,13.385,13184032,4300931,8883101,3.535,10.835,3103678,2.551,21.669,384397,394156,2237852,1,18782.243,0.101102408,1,0
40,2016,0.014932508,1865.417,0.724676067,5.1,5218382,7037870,125752970,124497221,712641,10.218,584974,8.388,16064058,5290637,10773421,4.25,12.903,13558244,4291699,9266545,3.447,10.89,2505814,2.013,21.781,388289,398275,2330232,1,19062.709,0.097856868,0,0
41,2017,0.023304138,2019.85,0.632643995,4.4,5251898,7078347,127487795,126484133,682018,9.663,640811,9.08,17102378,5304162,11798216,4.194,13.521,15106100,5147998,9958102,4.07,11.943,1996278,1.578,23.886,399484,410625,2492785,0,19506.949,0.103545152,0,0
42,2018,0.032989628,2063.283,0.526435396,4,5287859,7100489,129708103,128654849,654968,9.244,624670,8.816,16136183,4831149,11305034,3.755,12.542,14021118,4529261,9491857,3.52,10.898,2115065,1.644,21.796,403310,414597,2393244,0,20150.476,0.10239376,0,0
43,2019,0.022421257,2059.292,0.455381286,3.7,5337016,7165271,131929507,130784983,673744,9.446,608846,8.536,15669955,4819681,10850274,3.685,11.981,13415144,4328685,9086459,3.31,10.257,2254811,1.724,20.515,418868,427723,2421475,0,20602.275,0.099954592,0,1
44,2020,-0.075023656,1871.838,0.968999516,14.8,5341601,7176619,132733734,132330104,680063,9.485,667311,9.307,15686471,5165874,10520597,3.904,11.854,14874964,4751544,10123420,3.591,11.241,811507,0.613,22.482,444189,455517,2569610,0,19056.617,0.098225094,0,1
45,2021,0.122392553,2996.334,0.157342694,6.1,5377307,7193411,126864765,129831546,754184,10.497,736662,10.253,14640627,4979576,9661051,3.835,11.277,20562557,5153381,15409176,3.969,15.838,-5921930,-4.561,22.553,485203,503961,2638588,1,21389.005,0.140087582,0,1
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,